stock_id,symbol,suggested_personality,evidence_start,evidence_end,evidence_days,full_return,annualized_full_return,monthly_log_slope_return,second_half_return,last_quarter_return,full_band_pct,max_drawdown,deep_z_event_count,near_low_event_count,negative_month_change_ratio,negative_month_streak_end
32,ASS,STRONG,2026-01-26T15:25:02+00:00,2026-07-23T09:43:05+00:00,177.76253472222223,0.042445606634112565,0.0891032954344495,0.008685960421687122,0.011778563015311994,0.0068653717347622045,0.08246819710483977,-0.03625557206537877,265,40,0.16666666666666666,0
27,BAG,WEAK,2026-01-26T15:25:02+00:00,2026-07-23T09:41:06+00:00,177.7611574074074,-0.010954235637779863,-0.022362780678687244,-0.004058995738839055,-0.009547799943119495,-0.013036437246963573,0.06797338985540691,-0.06364708194144231,292,113,0.8333333333333334,4
33,CBD,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:43:05+00:00,177.76253472222223,0.0029971267214901065,0.006163717689842141,-0.004235609441890942,0.006537409893114576,0.00982568143843987,0.05132336018411965,-0.04881786339754812,279,71,0.6666666666666666,0
10,CNC,NARROW,2026-01-26T15:25:02+00:00,2026-07-23T09:35:05+00:00,177.75697916666667,-0.024277119906790157,-0.04921267444015176,-0.0004310763456518707,-0.012819495607820808,-0.021294766768926388,0.0411275255016188,-0.03950287020007792,297,71,0.5,1
21,ELT,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:39:05+00:00,177.75975694444443,0.018066157760814328,0.03744891437115028,0.0039771926472844665,0.015450017448685127,0.013552881570614295,0.05123525193924783,-0.04019770388212851,276,117,0.5,1
28,EVL,NARROW,2026-01-26T15:25:02+00:00,2026-07-23T09:41:06+00:00,177.7611574074074,0.0010618770953110257,0.00218158964082793,0.0005649748095963858,0.026474202429653593,0.027225179788923137,0.03662699655496393,-0.0333454259628756,300,105,0.5,0
19,EWM,STEADY,2026-01-26T15:25:02+00:00,2026-07-23T09:38:05+00:00,177.7590625,0.033919419134396556,0.07089310340369548,0.005217025615152693,-0.002232602871470646,-0.007448662315919008,0.05154823059360725,-0.02907351494385446,247,71,0.16666666666666666,1
15,FHG,STRONG,2026-01-26T15:25:02+00:00,2026-07-23T09:37:05+00:00,177.75836805555556,0.0674383672690857,0.1433986712381874,0.013226820825549268,0.016321805159869696,0.02919506672337091,0.10701027471079927,-0.045087730685186345,241,27,0.16666666666666666,1
6,GRN,STRONG,2026-01-26T15:25:02+00:00,2026-07-23T09:34:05+00:00,177.75628472222223,0.05926439513998938,0.12549433675337318,0.01216718164867725,0.031508214641674526,0.038620912916801586,0.1062170919400569,-0.029870327993897883,243,22,0.16666666666666666,1
22,HRG,DECLINER,2026-01-26T15:25:02+00:00,2026-07-23T09:39:05+00:00,177.75975694444443,-0.029520980319346357,-0.05967445880898303,-0.006812401576882343,-0.04105819329272764,-0.04017775166183113,0.06697692456854742,-0.06277260831637099,310,101,0.6666666666666666,4
14,IIL,STEADY,2026-01-26T15:25:02+00:00,2026-07-23T09:37:05+00:00,177.75836805555556,0.045754644557039814,0.09621608003170645,0.0033749940041876147,0.018543442500373875,0.015203458041436857,0.05171882225990432,-0.03796529734539522,276,82,0.3333333333333333,1
5,IOU,WEAK,2026-01-26T15:25:02+00:00,2026-07-23T09:34:05+00:00,177.75628472222223,-0.013841602946921827,-0.02821482688314625,-0.0035276330207857365,0.019679132040627767,0.025062365840923473,0.060956476262420844,-0.05745426662285036,307,62,0.5,0
26,IST,STRONG,2026-01-26T15:25:02+00:00,2026-07-23T09:41:06+00:00,177.7611574074074,0.04019598424440374,0.08428356415849203,0.007509271897349068,0.03204590513954564,0.026293838862559316,0.06465147139177274,-0.032511422421930836,255,31,0.16666666666666666,0
4,LAG,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:33:05+00:00,177.75559027777777,0.00026101709661974226,0.0005360413003985265,0.0014547352383544876,0.0030974609545415532,0.0038638695452859473,0.04682126796578778,-0.044727088948787075,232,64,0.5,2
34,LOS,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:43:05+00:00,177.76253472222223,0.026641032683328625,0.05546991953706448,0.0007171406886870013,0.03155183515775928,0.0314569536423841,0.04562808455163436,-0.04363701131000097,227,88,0.3333333333333333,0
17,LSC,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:38:05+00:00,177.7590625,0.02137031860880656,0.04437462239846157,0.002881532034131773,0.0691072718182324,0.06357306020190112,0.08656244183882378,-0.06478451576968602,266,106,0.5,0
29,MCS,STEADY,2026-01-26T15:25:02+00:00,2026-07-23T09:42:05+00:00,177.76184027777776,0.029679094787608884,0.06189338969480129,0.007118016909552827,0.02232126413495883,0.02432093297903748,0.060496250440384536,-0.026463209684097766,267,32,0.16666666666666666,0
11,MSG,STEADY,2026-01-26T15:25:02+00:00,2026-07-23T09:36:05+00:00,177.7576736111111,0.051447175414117474,0.10850443558767209,0.004368242457109206,0.034314070528612683,0.03365925717501406,0.06743557397729338,-0.03389476614699338,283,65,0.3333333333333333,0
24,MUN,WEAK,2026-01-26T15:25:02+00:00,2026-07-23T09:40:07+00:00,177.76047453703703,0.00010789038337044587,0.00022154659341122596,-0.0023923379981780624,-0.002475069947628916,-0.01270990875847633,0.048385006941230824,-0.04615194477303619,245,139,0.8333333333333334,3
18,PRN,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:38:05+00:00,177.7590625,0.008108460860769329,0.0167205478944632,0.003551756688680685,0.0205291669419303,0.02238657798074062,0.0643150068349283,-0.04039289085121023,256,44,0.3333333333333333,0
35,PTS,STEADY,2026-01-26T15:25:02+00:00,2026-07-23T09:44:05+00:00,177.76322916666666,0.01959773078906646,0.0406553469470865,0.007255879045925617,0.016975308641975273,0.009574875526618065,0.07311571125265393,-0.03508322663252239,251,46,0.16666666666666666,0
16,SYM,STRONG,2026-01-26T15:25:02+00:00,2026-07-23T09:37:05+00:00,177.75836805555556,0.06501395739018512,0.13807263724182794,0.010129038126528656,0.04809622090954391,0.042428189192632804,0.08957642938801502,-0.030155695921985748,258,73,0.16666666666666666,0
3,SYS,WEAK,2026-01-26T15:25:02+00:00,2026-07-23T09:33:05+00:00,177.75559027777777,-0.03901101267822027,-0.0784597504400163,-0.009496958537195233,-0.01775755796888767,-0.02267716075522408,0.08305868835606067,-0.07668900055834726,277,128,0.8333333333333334,0
31,TCC,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:42:05+00:00,177.76184027777776,0.01989264287969683,0.04127381723491719,0.005751420826684672,0.0024829298572315306,-0.002951787471302203,0.0571273122959739,-0.026294699080257944,266,66,0.16666666666666666,0
2,TCI,WEAK,2026-01-26T15:25:02+00:00,2026-07-23T09:33:05+00:00,177.75559027777777,-0.036336216234231666,-0.07318511481781742,-0.007263065493386511,-0.024016269630304787,-0.02422212473002161,0.07009563694911991,-0.06550408629733784,293,104,0.5,0
20,TCM,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:39:05+00:00,177.75975694444443,0.0013654673311940257,0.002805775684776579,-0.0038815613687840367,-0.024021825924940177,-0.02476811064197626,0.057994430884526826,-0.05481544060306731,304,72,0.5,0
13,TCP,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:36:05+00:00,177.7576736111111,0.01108134672088501,0.022886788386460966,0.0020710963942904836,0.000820281948074042,0.005288572085536902,0.04837320386829025,-0.036190834666415816,247,50,0.3333333333333333,0
9,TCT,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:35:05+00:00,177.75697916666667,0.030331964734714667,0.06327811911296966,0.004351045658398833,0.018147507469728152,0.01540102255261755,0.05245124723814398,-0.027980162860466673,259,52,0.16666666666666666,0
23,TGP,STEADY,2026-01-26T15:25:02+00:00,2026-07-23T09:40:07+00:00,177.76047453703703,0.028245889336153462,0.058861197707173796,0.006891979400874826,0.005671960496463235,0.01652502360717678,0.06555119465675152,-0.03754442649434575,278,86,0.3333333333333333,1
7,THS,WEAK,2026-01-26T15:25:02+00:00,2026-07-23T09:34:05+00:00,177.75628472222223,-0.013195684235038474,-0.026907394755639635,-0.002595420056755837,-0.0061757348342714735,-0.0034230467729291503,0.04996951461972787,-0.0470864471823873,236,87,0.6666666666666666,2
12,TMI,WEAK,2026-01-26T15:25:02+00:00,2026-07-23T09:36:05+00:00,177.7576736111111,0.0019628369536770496,0.00403457211760494,-0.0031838446817158417,-0.0022586109542630517,0.0030566350814376086,0.0418452565065619,-0.040164560183221676,244,121,0.8333333333333334,5
1,TSB,NARROW,2026-01-26T15:25:02+00:00,2026-07-23T09:32:05+00:00,177.75489583333334,0.007488444555384444,0.01543734751852277,0.00023554814475912345,-0.003490579691637019,-0.00510837229069272,0.041521020721478674,-0.03964181591003746,237,98,0.5,0
30,WLT,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:42:05+00:00,177.76184027777776,0.012642720016166509,0.026132297211553857,0.002005736911173228,0.002412982596519342,-0.0022648365459998487,0.04579339723109688,-0.03416926361249473,252,57,0.5,2
25,WSU,RANGING,2026-01-26T15:25:02+00:00,2026-07-23T09:40:07+00:00,177.76047453703703,-0.011879931078262462,-0.024240767791734896,0.004161060087241708,-0.022692618172033385,-0.017050067658998636,0.06857622690800524,-0.05492010826857596,304,61,0.5,1
8,YAZ,WEAK,2026-01-26T15:25:02+00:00,2026-07-23T09:35:05+00:00,177.75697916666667,-0.0255697609783212,-0.051797301701642984,-0.00727974783622487,-0.0018978933383942964,0.0028604118993136307,0.07403789802695848,-0.0689341578755911,297,80,0.6666666666666666,2
